year,SeedType,Upset,Region,GameCity,GameState,TopSeed,TopScore,TopGames,TopFG,TopFGA,TopFGPer,Top3P,Top3PA,Top3Per,Top2P,Top2PA,Top2Per,TopPTs,TopOppPTS,TopAST,TopORB,TopDRB,TopPoss,TopTSPer,TopEFGPer,TopTOV,TopTOPer,TopFT,TopFTA,TopFTR,TopORTG,TopDRTG,TopSOS,BotSeed,BotScore,BotGames,BotFG,BotFGA,BotFGPer,Bot3P,Bot3PA,Bot3Per,Bot2P,Bot2PA,Bot2Per,BotPTs,BotOppPTS,BotAST,BotORB,BotDRB,BotPoss,BotTSPer,BotEFGPer,BotTOV,BotTOPer,BotFT,BotFTA,BotFTR,BotORTG,BotDRTG,BotSOS
2001,FourThirteen,0,One,at Greensboro, NC,UCLA,61,32,902,1947,0.463,190,535,0.355,712,1412,0.463,2544,2382,464,441,778,2793.6,0.550230128,0.512069851,515,0.184349943,550,829,0.425783256,0.910652921,0.85266323,12.06,Hofstra,48,31,784,1657,0.473,167,503,0.332,617,1154,0.473,2257,1929,414,373,793,2490.8,0.560862391,0.523536512,511,0.20515497,522,807,0.487024744,0.906134575,0.774449976,-5.47
2001,FourThirteen,1,Two,at Memphis, TN,Oklahoma,68,33,859,1924,0.446,242,636,0.381,617,1288,0.446,2454,2122,444,420,764,2611.2,0.553221036,0.509355509,420,0.160845588,494,668,0.347193347,0.939797794,0.812653186,5.48,Indiana State,70,34,861,1872,0.46,213,594,0.359,648,1278,0.46,2479,2305,521,334,735,2582.8,0.560433697,0.516826923,402,0.155645036,544,772,0.412393162,0.959811058,0.892442311,2.5
2001,FourThirteen,0,Three,at Dayton, OH,Kansas,99,33,1002,1996,0.502,183,465,0.394,819,1531,0.502,2707,2286,641,443,964,2843.6,0.577638744,0.547845691,532,0.187086791,520,789,0.395290581,0.951962301,0.803910536,9.03,Cal State Northridge,75,32,910,1842,0.494,217,547,0.397,693,1295,0.494,2650,2409,608,373,785,2677,0.596148655,0.552931596,489,0.182667165,613,865,0.469598263,0.989914083,0.899887934,0.24
2001,FourThirteen,1,Four,at San Diego, CA,Indiana,73,34,858,1896,0.453,181,500,0.362,677,1396,0.453,2408,2186,513,377,891,2713.6,0.535168196,0.500263713,496,0.182783019,511,804,0.424050633,0.887382075,0.805571934,11.05,Kent State,77,34,823,1917,0.429,180,516,0.349,643,1401,0.429,2390,2117,429,403,700,2558.6,0.532968209,0.476264997,346,0.135230204,564,739,0.385498174,0.934104588,0.827405612,1.44
2001,FiveTwelve,1,One,at Greensboro, NC,Ohio State,68,31,775,1645,0.471,169,443,0.381,606,1202,0.471,2206,1973,473,355,735,2394.8,0.565154124,0.522492401,471,0.196676132,487,697,0.423708207,0.921162519,0.823868381,8.17,Utah State,77,34,852,1755,0.485,200,513,0.39,652,1242,0.485,2404,1959,511,370,807,2538.2,0.577351675,0.542450142,486,0.191474273,500,743,0.423361823,0.947127886,0.771806792,-1.5
2001,FiveTwelve,1,Two,at Memphis, TN,Virginia,85,29,852,1872,0.455,204,553,0.369,648,1319,0.455,2464,2168,420,437,694,2573,0.558932946,0.509615385,399,0.155071901,556,755,0.403311966,0.957637,0.842596191,8.72,Gonzaga,86,33,915,1793,0.51,245,606,0.404,670,1187,0.51,2720,2271,537,369,896,2643.8,0.615473734,0.578639152,472,0.178530902,645,947,0.528165086,1.02882215,0.858990847,0.32
2001,FiveTwelve,0,Three,at Dayton, OH,Syracuse,79,34,885,2029,0.436,185,552,0.335,700,1477,0.436,2475,2294,545,442,869,2760.8,0.526846838,0.481764416,441,0.159736308,520,727,0.358304584,0.896479281,0.830918574,5.82,Hawaii,69,31,797,1703,0.468,177,507,0.349,620,1196,0.468,2254,2265,557,335,664,2485.4,0.564617944,0.519964768,516,0.207612457,483,666,0.391074574,0.906896274,0.911322121,7.25
2001,FiveTwelve,0,Four,at San Diego, CA,Cincinnati,84,35,921,2076,0.444,214,600,0.357,707,1476,0.444,2586,2294,451,464,752,2760,0.53642549,0.495183044,380,0.137681159,530,760,0.366088632,0.936956522,0.83115942,7.84,BYU,59,33,744,1620,0.459,185,485,0.381,559,1135,0.459,2324,2069,414,292,696,2387,0.584683506,0.516358025,433,0.181399246,651,835,0.515432099,0.973607038,0.866778383,3.47
2001,SixEleven,0,One,at Uniondale, NY,USC,69,34,898,1955,0.459,208,597,0.348,690,1358,0.459,2620,2420,514,422,828,2816.2,0.560039673,0.512531969,512,0.18180527,616,873,0.446547315,0.930331653,0.859313969,10.83,Oklahoma State,54,30,767,1652,0.464,129,395,0.327,638,1257,0.464,2129,1936,406,364,775,2452.4,0.538758199,0.503329298,506,0.206328495,466,736,0.445520581,0.86812918,0.789430762,4.7
2001,SixEleven,1,Two,at New Orleans, LA,Texas,65,34,819,1990,0.412,215,626,0.343,604,1364,0.412,2396,2211,414,483,863,2826,0.508186986,0.465577889,502,0.177636235,543,835,0.41959799,0.847841472,0.782377919,8.88,Temple,79,37,926,2168,0.427,281,815,0.345,645,1353,0.427,2604,2366,416,494,828,2744.2,0.528383358,0.491928044,307,0.111872313,471,673,0.310424354,0.948910429,0.862182057,9.77
2001,SixEleven,0,Three,at Kansas City, MO,Notre Dame,83,30,814,1763,0.462,219,570,0.384,595,1193,0.462,2338,2078,527,370,844,2482.6,0.562787652,0.523823029,434,0.174816724,491,714,0.404991492,0.941754612,0.837025699,5.68,Xavier,71,29,706,1653,0.427,178,587,0.303,528,1066,0.427,2130,1911,398,391,734,2375.2,0.534928576,0.480943739,415,0.174722129,540,768,0.4646098,0.896766588,0.804563826,4.59
2001,SixEleven,1,Four,at Boise, ID,Wisconsin,49,29,575,1349,0.426,174,477,0.365,401,872,0.426,1723,1641,358,233,636,1913.2,0.538801191,0.490733877,337,0.176144679,399,568,0.421052632,0.900585407,0.857725277,12.07,Georgia State,50,34,929,2068,0.449,276,780,0.354,653,1288,0.449,2701,2337,449,441,730,2826.2,0.55724731,0.515957447,435,0.15391692,567,808,0.390715667,0.955700234,0.826905385,-3.72
2001,SevenTen,0,One,at Uniondale, NY,Iowa,69,35,815,1895,0.43,210,573,0.366,605,1322,0.43,2593,2469,474,482,869,2842.2,0.548221504,0.485488127,520,0.182956864,753,1068,0.563588391,0.912321441,0.868693266,10.7,Creighton,56,32,788,1782,0.442,249,694,0.359,539,1088,0.442,2325,2024,490,357,727,2492.8,0.554818449,0.512065095,426,0.170892169,500,712,0.399551066,0.932686136,0.811938383,3
2001,SevenTen,0,Two,at New Orleans, LA,Penn State,69,33,835,1962,0.426,278,757,0.367,557,1205,0.426,2535,2473,481,349,720,2676.2,0.551106125,0.496432212,407,0.152081309,587,768,0.391437309,0.947238622,0.924071445,10.54,Providence,59,31,806,1809,0.446,249,622,0.4,557,1187,0.446,2359,2049,506,391,738,2553.2,0.557968135,0.514372582,467,0.182907724,498,693,0.383084577,0.923938587,0.802522325,5.44
2001,SevenTen,1,Three,at Kansas City, MO,Wake Forest,63,30,838,1815,0.462,177,494,0.358,661,1321,0.462,2296,1995,465,342,762,2433.6,0.551138764,0.51046832,375,0.154092702,443,609,0.33553719,0.943458251,0.819773176,10.5,Butler,79,32,755,1643,0.46,251,617,0.407,504,1026,0.46,2228,1946,388,305,617,2280.8,0.577237963,0.535909921,377,0.16529288,467,652,0.396835058,0.976850228,0.8532094,3.98
2001,SevenTen,1,Four,at Boise, ID,Arkansas,61,31,881,1990,0.443,273,741,0.368,608,1249,0.443,2476,2152,476,410,690,2696.6,0.545095898,0.511306533,451,0.167247645,441,639,0.321105528,0.91819328,0.798041979,6.16,Georgetown,63,33,924,2115,0.437,186,561,0.332,738,1554,0.437,2574,2228,547,607,874,2991.8,0.520109275,0.480851064,550,0.183835818,540,817,0.386288416,0.860351628,0.744702186,1.58
2001,EightNine,1,One,at Greensboro, NC,Georgia,68,31,845,1820,0.464,142,411,0.345,703,1409,0.464,2257,2258,471,397,796,2557.8,0.537872722,0.503296703,485,0.189616076,425,632,0.347252747,0.882398937,0.882789898,12.71,Missouri,70,33,847,2015,0.42,279,734,0.38,568,1281,0.42,2493,2402,418,466,793,2808.8,0.532355604,0.489578164,497,0.176943891,520,742,0.368238213,0.887567645,0.855169467,9.19
